type,ent_uri,pred,val_pred,val_gold,abs,found,verif,reason
FN,Abdul_Momen_Talukder,birthName,,Abdul Momin Talukder,"Abdul Momin Talukder (born 29 June 1952) is a Bangladesh Nationalist Party (BNP) politician and a former Jatiya Sangsad member representing the Bogra-3 constituency during 2001–2014. In November 2021, Talukder was sentenced to death by the International Crimes Tribunal for his conviction in war crime charges during the Bangladesh Liberation War in 1971.",TRUE,TRUE,
FP_new,%C3%81ngel_Deldo,label,Ángel Ricardo Deldo,,Ángel Ricardo Deldo Garcia (born 1 October 1987) is an Argentine 5-a-side footballer.,TRUE,FALSE,LCE
FP_new,%C3%81ngel_Deldo,label,Ángel Deldo,,Ángel Ricardo Deldo Garcia (born 1 October 1987) is an Argentine 5-a-side footballer.,TRUE,TRUE,
FN,Abel_Buell,deathYear,,1822,"Abel Buell (1742–1822), born in Killingworth, Connecticut, was a goldsmith, silversmith, jewelry designer, engraver, surveyor, printer, type manufacturer, mint master, textile miller, and counterfeiter in the American colonies. In 1784, Buell published A New and Correct Map of the United States of North America Layd down from the latest Observations and best Authorities agreeable to the Peace of 1783; it was the first map of the new United States created by an American. He was also an inventor. He invented a lapidary machine to cut and polish gems, a minting machine that could product 120 coins per minute, and machines for planting onions and corn. He was the first man to design and cast type in the United States.",TRUE,TRUE,
FP_new,A%2E_J%2E_Kitt,label,AJ Kitt,,"Alva Ross ""AJ"" Kitt IV (born September 13, 1968) is a former World Cup alpine ski racer from the United States. A member of the U.S. Ski Team for over a decade, Kitt specialized in the speed event of downhill, and also raced in Super-G and combined. He retired from international competition following the 1998 season with six World Cup podiums, which included one downhill victory. Kitt was a bronze medalist in the downhill at the 1993 World Championships. He also had the lead in three World Cup races which were subsequently nullified by FIS officials, due to weather conditions that did not allow the entire field of competitors to start the race. In each, Kitt was awarded the race's prize money and trophies, but not the World Cup points.",TRUE,TRUE,
FP_new,A%2E_J%2E_Kitt,birthName,Alva Ross,,"Alva Ross ""AJ"" Kitt IV (born September 13, 1968) is a former World Cup alpine ski racer from the United States. A member of the U.S. Ski Team for over a decade, Kitt specialized in the speed event of downhill, and also raced in Super-G and combined. He retired from international competition following the 1998 season with six World Cup podiums, which included one downhill victory. Kitt was a bronze medalist in the downhill at the 1993 World Championships. He also had the lead in three World Cup races which were subsequently nullified by FIS officials, due to weather conditions that did not allow the entire field of competitors to start the race. In each, Kitt was awarded the race's prize money and trophies, but not the World Cup points.",TRUE,TRUE,
FP_new,Abdul_Momen_Talukder,label,Abdul Momin Talukder,,"Abdul Momin Talukder (born 29 June 1952) is a Bangladesh Nationalist Party (BNP) politician and a former Jatiya Sangsad member representing the Bogra-3 constituency during 2001–2014. In November 2021, Talukder was sentenced to death by the International Crimes Tribunal for his conviction in war crime charges during the Bangladesh Liberation War in 1971.",TRUE,FALSE,MCE
FP_new,Adam_Dale,label,Adam Craig Dale,,"Adam Craig Dale (born 30 December 1968) is a former Australian cricketer who played in two Test matches and 30 One Day Internationals between 1997 and 2000. He played in first-class and List A cricket for Queensland Bulls and in club cricket for North Melbourne Cricket Club,, Northcote Cricket Club, and. He played grade cricket for the Wynnum-Manly Cricket Club in Brisbane, and premier cricket for Northcote, Heidelberg Cricket Club, North Melbourne and Melbourne in Melbourne, over a long career which spanned twenty-six years from 1985–86 to 2010–11.",TRUE,FALSE,LCE
FP_new,Adam_Dale,label,Adam Dale,,"Adam Craig Dale (born 30 December 1968) is a former Australian cricketer who played in two Test matches and 30 One Day Internationals between 1997 and 2000. He played in first-class and List A cricket for Queensland Bulls and in club cricket for North Melbourne Cricket Club,, Northcote Cricket Club, and. He played grade cricket for the Wynnum-Manly Cricket Club in Brisbane, and premier cricket for Northcote, Heidelberg Cricket Club, North Melbourne and Melbourne in Melbourne, over a long career which spanned twenty-six years from 1985–86 to 2010–11.",TRUE,TRUE,
FN,Adolphe_Menjou,birthName,,Adolphe Jean Menjou,"Adolphe Jean Menjou (February 18, 1890 – October 29, 1963) was an American actor. His career spanned both silent films and talkies. He appeared in such films as Charlie Chaplin's A Woman of Paris, where he played the lead role; Stanley Kubrick's Paths of Glory with Kirk Douglas; Ernst Lubitsch's The Marriage Circle; The Sheik with Rudolph Valentino; Morocco with Marlene Dietrich and Gary Cooper; and A Star Is Born with Janet Gaynor and Fredric March, and was nominated for an Academy Award for The Front Page in 1931.",TRUE,TRUE,
FN,Ahmet_Cevdet_Oran,deathDate,,1935-05-27,"Ahmet Cevdet Oran (mostly known as Ahmet Cevdet; 1862–27 May 1935) was a Turkish journalist who founded an influential newspaper, İkdam which was in circulation between 1894 and 1928. He was one of the early Turkish journalists who employed pure Turkish instead of Ottoman Turkish in his writings.",TRUE,TRUE,
FN,Akhmet_Baitursynov,birthName,,Ahmet Baitursynuly,"Ahmet Baitursynuly (Kazakh: Ахметт Байтұрсынұлы, أحمد بيتورسينولي, romanized: Ahmed Baitūrsynūly; Russified: Ахмет Байтурсынов) (c. 5 September 1873 — 8 December 1937) was a Kazakh intellectual who worked in the fields of politics, poetry, linguistics and education.",TRUE,TRUE,
