type,ent_uri,pred,val_pred,val_gold,abs,found,verif,reason
FP_new,Abdul_Momen_Talukder,label,Abdul Momin Talukder,,"Abdul Momin Talukder (born 29 June 1952) is a Bangladesh Nationalist Party (BNP) politician and a former Jatiya Sangsad member representing the Bogra-3 constituency during 2001–2014. In November 2021, Talukder was sentenced to death by the International Crimes Tribunal for his conviction in war crime charges during the Bangladesh Liberation War in 1971.",TRUE,TRUE,
FN,Abdul_Momen_Talukder,birthName,,Abdul Momin Talukder,"Abdul Momin Talukder (born 29 June 1952) is a Bangladesh Nationalist Party (BNP) politician and a former Jatiya Sangsad member representing the Bogra-3 constituency during 2001–2014. In November 2021, Talukder was sentenced to death by the International Crimes Tribunal for his conviction in war crime charges during the Bangladesh Liberation War in 1971.",TRUE,TRUE,
FN,Abel_Buell,birthYear,,1742,"Abel Buell (1742–1822), born in Killingworth, Connecticut, was a goldsmith, silversmith, jewelry designer, engraver, surveyor, printer, type manufacturer, mint master, textile miller, and counterfeiter in the American colonies. In 1784, Buell published A New and Correct Map of the United States of North America Layd down from the latest Observations and best Authorities agreeable to the Peace of 1783; it was the first map of the new United States created by an American. He was also an inventor. He invented a lapidary machine to cut and polish gems, a minting machine that could product 120 coins per minute, and machines for planting onions and corn. He was the first man to design and cast type in the United States.",TRUE,TRUE,
FN,Abel_Buell,deathYear,,1822,"Abel Buell (1742–1822), born in Killingworth, Connecticut, was a goldsmith, silversmith, jewelry designer, engraver, surveyor, printer, type manufacturer, mint master, textile miller, and counterfeiter in the American colonies. In 1784, Buell published A New and Correct Map of the United States of North America Layd down from the latest Observations and best Authorities agreeable to the Peace of 1783; it was the first map of the new United States created by an American. He was also an inventor. He invented a lapidary machine to cut and polish gems, a minting machine that could product 120 coins per minute, and machines for planting onions and corn. He was the first man to design and cast type in the United States.",TRUE,TRUE,
FN,Ahmet_Cevdet_Oran,deathDate,,1935-05-27,"Ahmet Cevdet Oran (mostly known as Ahmet Cevdet; 1862–27 May 1935) was a Turkish journalist who founded an influential newspaper, İkdam which was in circulation between 1894 and 1928. He was one of the early Turkish journalists who employed pure Turkish instead of Ottoman Turkish in his writings.",TRUE,TRUE,
FP_different,Akhmet_Baitursynov,label,Akhmet Baitursynuly,Akhmet Baitursynov,"Ahmet Baitursynuly (Kazakh: Ахметт Байтұрсынұлы, أحمد بيتورسينولي, romanized: Ahmed Baitūrsynūly; Russified: Ахмет Байтурсынов) (c. 5 September 1873 — 8 December 1937) was a Kazakh intellectual who worked in the fields of politics, poetry, linguistics and education.",TRUE,FALSE,WV
FN,Akhmet_Baitursynov,birthName,,Ahmet Baitursynuly,"Ahmet Baitursynuly (Kazakh: Ахметт Байтұрсынұлы, أحمد بيتورسينولي, romanized: Ahmed Baitūrsynūly; Russified: Ахмет Байтурсынов) (c. 5 September 1873 — 8 December 1937) was a Kazakh intellectual who worked in the fields of politics, poetry, linguistics and education.",TRUE,TRUE,
FN,AKM_Jahangir_Hossain,birthYear,,1954,AKM Jahangir Hossain (1954 – 24 December 2020) was a Bangladesh Awami League politician and a 4-term Jatiya Sangsad member representing the Patuakhali-3 constituency.,TRUE,TRUE,
FN,AKM_Jahangir_Hossain,deathDate,,2020-12-24,AKM Jahangir Hossain (1954 – 24 December 2020) was a Bangladesh Awami League politician and a 4-term Jatiya Sangsad member representing the Patuakhali-3 constituency.,TRUE,TRUE,
FN,AKM_Jahangir_Hossain,deathYear,,2020,AKM Jahangir Hossain (1954 – 24 December 2020) was a Bangladesh Awami League politician and a 4-term Jatiya Sangsad member representing the Patuakhali-3 constituency.,TRUE,TRUE,
FN,Al-Muhtadi,deathYear,,8701,"Abū Isḥāq Muḥammad ibn al-Wāthiq (Arabic: أبو إسحاق محمد بن هارون الواثق) (833 – 21 June 870), better known by his regnal name Al-Muhtadī bi-'llāh (Arabic: المهتدي بالله, ""Guided by God""), was the Caliph of the Abbasid Caliphate from July 869 to June 870, during the ""Anarchy at Samarra"".",FALSE,FALSE,WV
FP_new,Al-Muhtadi,deathDate,0870-06-21,,"Abū Isḥāq Muḥammad ibn al-Wāthiq (Arabic: أبو إسحاق محمد بن هارون الواثق) (833 – 21 June 870), better known by his regnal name Al-Muhtadī bi-'llāh (Arabic: المهتدي بالله, ""Guided by God""), was the Caliph of the Abbasid Caliphate from July 869 to June 870, during the ""Anarchy at Samarra"".",FALSE,FALSE,MCE
FP_new,Al-Muhtadi,birthYear,833,,"Abū Isḥāq Muḥammad ibn al-Wāthiq (Arabic: أبو إسحاق محمد بن هارون الواثق) (833 – 21 June 870), better known by his regnal name Al-Muhtadī bi-'llāh (Arabic: المهتدي بالله, ""Guided by God""), was the Caliph of the Abbasid Caliphate from July 869 to June 870, during the ""Anarchy at Samarra"".",TRUE,TRUE,
FP_different,Al-Muhtadi,deathYear,870,8701,"Abū Isḥāq Muḥammad ibn al-Wāthiq (Arabic: أبو إسحاق محمد بن هارون الواثق) (833 – 21 June 870), better known by his regnal name Al-Muhtadī bi-'llāh (Arabic: المهتدي بالله, ""Guided by God""), was the Caliph of the Abbasid Caliphate from July 869 to June 870, during the ""Anarchy at Samarra"".",FALSE,TRUE,
FP_new,Al-Muhtadi,deathDate,0870-06-21,,"Abū Isḥāq Muḥammad ibn al-Wāthiq (Arabic: أبو إسحاق محمد بن هارون الواثق) (833 – 21 June 870), better known by his regnal name Al-Muhtadī bi-'llāh (Arabic: المهتدي بالله, ""Guided by God""), was the Caliph of the Abbasid Caliphate from July 869 to June 870, during the ""Anarchy at Samarra"".",TRUE,TRUE,
FP_different,Al-Muhtadi,deathYear,870,8701,"Abū Isḥāq Muḥammad ibn al-Wāthiq (Arabic: أبو إسحاق محمد بن هارون الواثق) (833 – 21 June 870), better known by his regnal name Al-Muhtadī bi-'llāh (Arabic: المهتدي بالله, ""Guided by God""), was the Caliph of the Abbasid Caliphate from July 869 to June 870, during the ""Anarchy at Samarra"".",TRUE,TRUE,
