,motif_id,nb_real,freq,freq cumul,inv_freq_cumul,s_valid,label,birthDate,birthYear,deathYear,alias,birthName,deathDate
110,motif110,236545,0.216242826034888,0.216242826034888,0.783757173965112,1,1,1,1,0,0,0,0
36,motif36,169215,0.154691622344559,0.370934448379447,0.629065551620553,0,1,0,0,0,0,0,0
63,motif63,157719,0.144182300532231,0.515116748911678,0.484883251088322,0,0,0,1,0,0,0,0
5,motif5,135656,0.124012922736007,0.639129671647685,0.360870328352315,0,0,1,1,0,0,0,0
41,motif41,89031,0.0813896512067985,0.720519322854484,0.279480677145516,1,1,1,1,1,0,0,1
124,motif124,72189,0.0659931656498026,0.786512488504287,0.213487511495714,0,0,1,1,1,0,0,1
53,motif53,67395,0.0616106248731586,0.848123113377445,0.151876886622555,0,0,0,1,1,0,0,0
66,motif66,26810,0.0245089524868222,0.872632065864267,0.127367934135733,1,1,0,1,0,0,0,0
114,motif114,18613,0.0170154842460732,0.88964755011034,0.11035244988966,0,0,1,1,0,0,1,0
24,motif24,17656,0.0161406216004227,0.905788171710763,0.0942118282892369,0,0,1,1,1,0,1,1
90,motif90,15639,0.014296736588639,0.920084908299402,0.0799150917005979,1,1,0,1,1,0,0,0
81,motif81,12451,0.0113823561138912,0.931467264413293,0.0685327355867067,1,1,1,1,1,0,1,1
125,motif125,11639,0.0106400484145514,0.942107312827845,0.0578926871721552,1,1,1,1,0,0,1,0
104,motif104,6637,0.00606735985285487,0.9481746726807,0.0518253273193003,0,0,0,0,1,0,0,0
6,motif6,6568,0.00600428198185186,0.954178954662552,0.0458210453374485,0,1,0,0,0,0,1,0
14,motif14,6284,0.00574465712149164,0.959923611784043,0.0400763882159568,0,1,0,0,1,0,0,1
78,motif78,5812,0.0053131679169493,0.965236779700992,0.0347632202990076,0,0,0,0,0,0,1,0
47,motif47,4569,0.00417685206685157,0.969413631767844,0.030586368232156,1,1,0,1,1,0,0,1
48,motif48,3799,0.00347293959333971,0.972886571361184,0.0271134286388163,0,0,0,0,1,0,0,1
32,motif32,3025,0.00276537043165376,0.975651941792837,0.0243480582071626,0,1,0,0,1,0,0,0
22,motif22,3010,0.00275165785100093,0.978403599643838,0.0215964003561616,1,1,1,1,1,0,0,0
89,motif89,2575,0.0023539930120689,0.980757592655907,0.0192424073440928,0,0,0,1,1,0,0,1
117,motif117,1963,0.00179451972143349,0.982552112377341,0.0174478876226593,1,1,1,1,0,1,0,0
2,motif2,1754,0.00160345776433742,0.984155570141678,0.0158444298583218,0,0,1,1,1,0,0,0
27,motif27,1754,0.00160345776433742,0.985759027906016,0.0142409720939843,0,0,0,1,0,0,1,0
65,motif65,1648,0.0015065555277241,0.98726558343374,0.0127344165662603,1,1,0,1,0,0,1,0
92,motif92,1555,0.00142153752767656,0.988687120961416,0.0113128790385837,1,1,0,1,1,0,1,0
123,motif123,1549,0.00141605249541543,0.990103173456832,0.00989682654316826,0,1,0,0,0,1,0,0
67,motif67,1430,0.00130726602223632,0.991410439479068,0.00858956052093196,0,0,0,1,1,0,1,0
31,motif31,1132,0.00103484275326679,0.992445282232335,0.00755471776766514,1,1,1,1,1,1,0,1
112,motif112,873,0.000798072193994621,0.99324335442633,0.00675664557367051,0,0,1,1,0,1,0,0
94,motif94,640,0.000585070107854018,0.993828424534184,0.00617157546581648,0,0,1,1,1,1,0,1
85,motif85,629,0.000575014215375277,0.994403438749559,0.00559656125044117,0,0,0,1,1,0,1,1
97,motif97,625,0.000571357527201189,0.99497479627676,0.00502520372324,1,1,0,1,1,0,1,1
69,motif69,518,0.000473541118544346,0.995448337395304,0.00455166260469564,0,0,0,0,0,1,0,0
60,motif60,510,0.00046622774219617,0.995914565137501,0.00408543486249946,0,1,0,0,1,0,1,1
46,motif46,415,0.00037938139806159,0.996293946535562,0.00370605346443786,0,0,1,1,1,0,1,0
44,motif44,411,0.000375724709887502,0.99666967124545,0.00333032875455042,0,0,0,0,1,0,1,1
