,test_BLEU,test_F1_macro,test_F1_micro,test_accuracy,test_dist_edit,test_fn_rate,test_fp_rate,test_loss,test_part_parsed,test_part_subj_ok,test_prec_macro,test_prec_micro,test_recall_macro,test_recall_micro,_runtime,model,fold,test_part_valid_r,test_part_valid_s
0,0.973299980163574,73.4815853490842,92.3076934814453,0.930827081203461,NaN,0.0105263162404299,0.0586466155946255,0.0450641140341759,0.949999988079071,0.949999988079071,69.2458210904769,87.6190490722656,80.7760141093474,97.5265045166016,971.990160942078,sample0_train_model_0_bart-base,0,,
1,0.843866646289825,73.4363129470136,93.4513244628906,0.946064114570618,NaN,0.00728862965479493,0.0466472320258617,0.0186898373067379,0.980000019073486,0.980000019073486,69.4481190214261,89.1891860961914,81.5799862465935,98.1412658691406,224.924355268478,sample0_train_model_0_bart-base,1,,
2,1,88.3790340254023,95.0943374633789,0.962099134922028,26,0.00437317788600922,0.0335276983678341,0.0197749771177769,0.980000019073486,0.980000019073486,89.7777957336781,91.6363601684571,90,98.8235321044922,720.402938365936,sample0_train_model_0_bart-base,2,,
3,1,97.1403107196422,98.8970565795898,0.991253674030304,NaN,0.00145772600080818,0.00728862965479493,0.00413518585264683,0.980000019073486,0.980000019073486,97.5757819302123,98.1751861572266,97.1428571428571,99.6296310424805,527.277841806412,sample0_train_model_0_bart-base,3,,
4,1,99.3506493506494,99.609375,0.996960461139679,NaN,0,0.00303951371461153,0.00345883169211447,0.939999997615814,0.939999997615814,98.7577639751553,99.2217864990234,100,100,252.107069730759,sample0_train_model_0_bart-base,4,,
5,1,84.9945363702396,99.4371490478516,0.995488703250885,NaN,0,0.0045112781226635,0.000918620673473924,0.949999988079071,0.949999988079071,84.3022648992798,98.8805999755859,85.7142857142857,100,244.887167215347,sample0_train_model_0_bart-base,5,,
6,1,100,100,1,NaN,0,0,5.02697948832065E-05,0.959999978542328,0.959999978542328,100,100,100,100,219.851984977722,sample0_train_model_0_bart-base,6,,
7,1,99.895724713243,99.8151550292969,0.998511910438538,NaN,0,0.00148809526581317,0.000363677041605115,0.959999978542328,0.959999978542328,99.7929606625259,99.6309967041016,100,100,532.356869220734,sample0_train_model_0_bart-base,7,,
8,1,100,100,1,NaN,0,0,3.15757679345552E-05,0.980000019073486,0.980000019073486,100,100,100,100,215.498157501221,sample0_train_model_0_bart-base,8,,
9,1,100,100,1,NaN,0,0,4.67633344669594E-06,0.949999988079071,0.949999988079071,100,100,100,100,304.1839427948,sample0_train_model_0_bart-base,9,,
10,0.995850026607513,82.0626057979844,96.1479187011719,0.961180150508881,NaN,0.0155279505997896,0.0232919249683619,0.0201871376484633,0.9200000166893,0.9200000166893,81.8484050564481,95.412841796875,82.4472402597403,96.8944091796875,796.523941755295,sample0_train_model_1_bart-base,0,,
11,1,82.7161965871643,97.2267532348633,0.972402572631836,NaN,0.0129870129749179,0.0146103892475367,0.0200100615620613,0.879999995231628,0.879999995231628,82.1532669011661,97.0684051513672,83.3968346249877,97.3856201171875,707.282645225525,sample0_train_model_1_bart-base,1,,
12,1,85.44474393531,99.8319320678711,0.998357951641083,NaN,0,0.00164203613530844,0.000319460581522435,0.870000004768372,0.870000004768372,85.1851851851852,99.6644287109375,85.7142857142857,100,232.859292507172,sample0_train_model_1_bart-base,2,,
13,1,85.3198879551821,99.6587066650391,0.996715903282166,NaN,0.00164203613530844,0.00164203613530844,0.00328952190466225,0.870000004768372,0.870000004768372,85.4875283446712,99.6587066650391,85.1648351648352,99.6587066650391,344.081543207169,sample0_train_model_1_bart-base,3,,
14,1,100,100,1,NaN,0,0,0.00138517399318516,0.899999976158142,0.899999976158142,100,100,100,100,465.058481454849,sample0_train_model_1_bart-base,4,,
15,1,100,100,1,NaN,0,0,0.000113569862151053,0.839999973773956,0.839999973773956,100,100,100,100,255.489962100983,sample0_train_model_1_bart-base,5,,
16,1,99.9000999000999,99.8290634155273,0.998397409915924,NaN,0.00160256412345916,0,0.000540053064469248,0.889999985694885,0.889999985694885,100,100,99.8015873015873,99.6587066650391,389.661374568939,sample0_train_model_1_bart-base,6,,
17,1,100,100,1,NaN,0,0,3.5857709008269E-05,0.910000026226044,0.910000026226044,100,100,100,100,386.029166221619,sample0_train_model_1_bart-base,7,,
18,1,85.7142857142857,100,1,NaN,0,0,1.57595059135929E-05,0.879999995231628,0.879999995231628,85.7142857142857,100,85.7142857142857,100,396.839844703674,sample0_train_model_1_bart-base,8,,
19,1,99.6677740863787,99.8087921142578,0.998194932937622,NaN,0,0.00180505414027721,0.00100911187473685,0.790000021457672,0.790000021457672,99.3506493506494,99.6183242797852,100,100,269.913004159927,sample0_train_model_1_bart-base,9,,
20,0.995850026607513,81.5301474916499,95.9420318603516,0.959999978542328,NaN,0.0157142858952284,0.0242857150733471,0.0201871376484633,1,1,81.0705006526265,95.1149444580078,82.1034663865546,96.7836227416992,835.236213922501,sample0_train_model_1_V2_bart-base,0,,
21,0.973299980163574,73.4623788167963,92.5039901733398,0.932857155799866,NaN,0.00999999977648258,0.0571428574621677,0.0450641140341759,1,1,69.2050355084303,87.8787841796875,80.7862679955703,97.6430969238281,1096.09933042526,sample0_train_model_0_V2_bart-base,0,,
