,type,ent_uri,pred,val_pred,val_gold,abs,found,verif,reason,need discution
347,FP_new,Abdul_Momen_Talukder,birthName,Abdul Momin Talukder,,"Abdul Momin Talukder (born 29 June 1952) is a Bangladesh Nationalist Party (BNP) politician and a former Jatiya Sangsad member representing the Bogra-3 constituency during 2001–2014. In November 2021, Talukder was sentenced to death by the International Crimes Tribunal for his conviction in war crime charges during the Bangladesh Liberation War in 1971.",TRUE,TRUE,,
70,FP_new,Abdul_Momen_Talukder,label,Abdul Momin Talukder,,"Abdul Momin Talukder (born 29 June 1952) is a Bangladesh Nationalist Party (BNP) politician and a former Jatiya Sangsad member representing the Bogra-3 constituency during 2001–2014. In November 2021, Talukder was sentenced to death by the International Crimes Tribunal for his conviction in war crime charges during the Bangladesh Liberation War in 1971.",TRUE,FALSE,WV,
509,FN,Abel_Buell,birthYear,,1742,"Abel Buell (1742–1822), born in Killingworth, Connecticut, was a goldsmith, silversmith, jewelry designer, engraver, surveyor, printer, type manufacturer, mint master, textile miller, and counterfeiter in the American colonies. In 1784, Buell published A New and Correct Map of the United States of North America Layd down from the latest Observations and best Authorities agreeable to the Peace of 1783; it was the first map of the new United States created by an American. He was also an inventor. He invented a lapidary machine to cut and polish gems, a minting machine that could product 120 coins per minute, and machines for planting onions and corn. He was the first man to design and cast type in the United States.",TRUE,TRUE,,
221,FP_new,Abel_Buell,deathYear,1822,,"Abel Buell (1742–1822), born in Killingworth, Connecticut, was a goldsmith, silversmith, jewelry designer, engraver, surveyor, printer, type manufacturer, mint master, textile miller, and counterfeiter in the American colonies. In 1784, Buell published A New and Correct Map of the United States of North America Layd down from the latest Observations and best Authorities agreeable to the Peace of 1783; it was the first map of the new United States created by an American. He was also an inventor. He invented a lapidary machine to cut and polish gems, a minting machine that could product 120 coins per minute, and machines for planting onions and corn. He was the first man to design and cast type in the United States.",TRUE,TRUE,,
16,FP_new,Ahmet_Cevdet_Oran,deathDate,1935-05-27,,"Ahmet Cevdet Oran (mostly known as Ahmet Cevdet; 1862–27 May 1935) was a Turkish journalist who founded an influential newspaper, İkdam which was in circulation between 1894 and 1928. He was one of the early Turkish journalists who employed pure Turkish instead of Ottoman Turkish in his writings.",TRUE,TRUE,,
97,FP_new,Akhmet_Baitursynov,birthDate,1873-09-05,,"Ahmet Baitursynuly (Kazakh: Ахметт Байтұрсынұлы, أحمد بيتورسينولي, romanized: Ahmed Baitūrsynūly; Russified: Ахмет Байтурсынов) (c. 5 September 1873 — 8 December 1937) was a Kazakh intellectual who worked in the fields of politics, poetry, linguistics and education.",TRUE,TRUE,,
384,FP_new,Akhmet_Baitursynov,birthName,Ahmet Baitursynuly,,"Ahmet Baitursynuly (Kazakh: Ахметт Байтұрсынұлы, أحمد بيتورسينولي, romanized: Ahmed Baitūrsynūly; Russified: Ахмет Байтурсынов) (c. 5 September 1873 — 8 December 1937) was a Kazakh intellectual who worked in the fields of politics, poetry, linguistics and education.",TRUE,TRUE,,
98,FP_new,Akhmet_Baitursynov,birthYear,1873,,"Ahmet Baitursynuly (Kazakh: Ахметт Байтұрсынұлы, أحمد بيتورسينولي, romanized: Ahmed Baitūrsynūly; Russified: Ахмет Байтурсынов) (c. 5 September 1873 — 8 December 1937) was a Kazakh intellectual who worked in the fields of politics, poetry, linguistics and education.",TRUE,TRUE,,
2115,FP_different,Akhmet_Baitursynov,label,Akhmet Baitursynuly,Akhmet Baitursynov,"Ahmet Baitursynuly (Kazakh: Ахметт Байтұрсынұлы, أحمد بيتورسينولي, romanized: Ahmed Baitūrsynūly; Russified: Ахмет Байтурсынов) (c. 5 September 1873 — 8 December 1937) was a Kazakh intellectual who worked in the fields of politics, poetry, linguistics and education.",TRUE,FALSE,WV,
91,FP_new,AKM_Jahangir_Hossain,birthYear,1954,,AKM Jahangir Hossain (1954 – 24 December 2020) was a Bangladesh Awami League politician and a 4-term Jatiya Sangsad member representing the Patuakhali-3 constituency.,TRUE,TRUE,,
90,FP_new,AKM_Jahangir_Hossain,deathDate,2020-12-24,,AKM Jahangir Hossain (1954 – 24 December 2020) was a Bangladesh Awami League politician and a 4-term Jatiya Sangsad member representing the Patuakhali-3 constituency.,TRUE,TRUE,,
92,FP_new,AKM_Jahangir_Hossain,deathYear,2020,,AKM Jahangir Hossain (1954 – 24 December 2020) was a Bangladesh Awami League politician and a 4-term Jatiya Sangsad member representing the Patuakhali-3 constituency.,TRUE,TRUE,,
579,FP_new,Al-Muhtadi,birthYear,833,,"Abū Isḥāq Muḥammad ibn al-Wāthiq (Arabic: أبو إسحاق محمد بن هارون الواثق) (833 – 21 June 870), better known by his regnal name Al-Muhtadī bi-'llāh (Arabic: المهتدي بالله, ""Guided by God""), was the Caliph of the Abbasid Caliphate from July 869 to June 870, during the ""Anarchy at Samarra"".",TRUE,FALSE,WV,
578,FP_new,Al-Muhtadi,deathDate,0870-06-21,,"Abū Isḥāq Muḥammad ibn al-Wāthiq (Arabic: أبو إسحاق محمد بن هارون الواثق) (833 – 21 June 870), better known by his regnal name Al-Muhtadī bi-'llāh (Arabic: المهتدي بالله, ""Guided by God""), was the Caliph of the Abbasid Caliphate from July 869 to June 870, during the ""Anarchy at Samarra"".",TRUE,FALSE,AC,
1012,FP_new,Al-Muhtadi,deathYear,870,,"Abū Isḥāq Muḥammad ibn al-Wāthiq (Arabic: أبو إسحاق محمد بن هارون الواثق) (833 – 21 June 870), better known by his regnal name Al-Muhtadī bi-'llāh (Arabic: المهتدي بالله, ""Guided by God""), was the Caliph of the Abbasid Caliphate from July 869 to June 870, during the ""Anarchy at Samarra"".",TRUE,TRUE,,
580,FP_different,Al-Muhtadi,label,Al-Muhtadī bi-'llāh,Al-Muhtadi,"Abū Isḥāq Muḥammad ibn al-Wāthiq (Arabic: أبو إسحاق محمد بن هارون الواثق) (833 – 21 June 870), better known by his regnal name Al-Muhtadī bi-'llāh (Arabic: المهتدي بالله, ""Guided by God""), was the Caliph of the Abbasid Caliphate from July 869 to June 870, during the ""Anarchy at Samarra"".",TRUE,FALSE,WV,
1014,FN,Alain_Borer,birthYear,,1949,"Alain Borer (born 1949 in Luxeuil), is a French poet, art critic, essayist, novelist, playwright, writer-traveler, signatory of the Littérature-monde (world literature) manifesto, and eminent authority on the works of Arthur Rimbaud. He has been Professor of Art at L'École supérieure des beaux-arts de Tours since 1979 and Visiting Professor of French Literature at the University of Southern California since 2005. He received the Kessel Prize for his novel Koba (Seuil, 2002), as well as the 70th Prix Apollinaire for his play Icare & I don't (Seuil). In 2010, Borer was awarded the 10th Pierre Mac Orlan Prize for Le Ciel & la carte, carnet de voyage dans les mers du Sud à bord de La Boudeuse (Seuil), and the Maurice Genevoix Prize from the Académie Française in 2011. Alain Borer was made a Kn",TRUE,TRUE,,
280,FP_new,Alejandro_Colunga,birthName,Alejandro Colunga Marín,,"Alejandro Colunga Marín is a Mexican artist, painter and sculptor.",TRUE,TRUE,,
311,FP_new,Alejandro_Colunga,birthName,Alejandro Colunga,,"Alejandro Colunga Marín is a Mexican artist, painter and sculptor.",TRUE,FALSE,ICE,
351,FP_new,Almanzo_Wilder,birthName,Almanzo James Wilder,,"Almanzo James Wilder (/ælˈmænzoʊ ˈwaɪldər/; February 13, 1857 – October 23, 1949) was the husband of Laura Ingalls Wilder and the father of Rose Wilder Lane, both noted authors.",TRUE,TRUE,,
632,FP_new,Amy_Brandon_Thomas,birthName,Amy Marguerite Brandon Thomas,,Amy Marguerite Brandon Thomas (9 March 1890 – 6 May 1974) was an English film and stage actress. She was the daughter of the playwright Brandon Thomas. She is also known as Amy Brandon-Thomas.,TRUE,TRUE,,
21,FP_new,Amy_Brandon_Thomas,label,Amy Brandon Thomas,,Amy Marguerite Brandon Thomas (9 March 1890 – 6 May 1974) was an English film and stage actress. She was the daughter of the playwright Brandon Thomas. She is also known as Amy Brandon-Thomas.,TRUE,TRUE,,
253,FP_new,Andrew_Constantinides_Zenos,birthName,Andrew Constantinides Zenos,,"Andrew Constantinides Zenos (Greek: Ανδρέας Κωνσταντινίδης Ξένος; August 13, 1855 – January 25, 1942) was a Presbyterian minister, author, translator, professor, and lecturer. He spoke eleven languages including Greek, Latin, and Hebrew. He wrote a large number of books about theology. He spent most of his career at McCormick Theological Seminary in Chicago. He was dean of the institution from 1920 to 1934. He is one of three notable Greek-American ministers in the United States during the 19th century. The other two were abolitionists John Celivergos Zachos and Photius Fisk. He frequently lectured across the United States.",TRUE,TRUE,,
2233,FN,Andrew_Lang_Petrie,birthName,,Andrew Lang Petrie,"Andrew Lang Petrie (25 June 1854 – 1 April 1928) was a builder, stonemason and politician in Queensland, Australia. He was a Member of the Queensland Legislative Assembly.",TRUE,TRUE,,
551,FP_new,Andy_Jenkins,label,Andy Jenkins,,"Andrew Jenkins (born 11 March 1971) is an English professional darts player who competes in Professional Darts Corporation (PDC) events. He was nicknamed ""Rocky"" due to his rough personality. Jenkins has reached high rankings in the PDC, but has never won a major tournament. In 2009, Jenkins was given a PDC ban for almost two years for an assault on Terry Jenkins during a non-televised PDC tournament.",TRUE,TRUE,,
186,FP_new,Anne_Berest,birthName,Anne Berest,,"Anne Berest (born September 15, 1979) is a French writer and actress.",TRUE,TRUE,,
147,FP_new,Anne_Louise_Hassing,birthName,Anne Louise Hassing,,Anne Louise Hassing (born 17 September 1967) is a Danish actress. She is best known for her roles in the films Pain of Love (1992) and The Idiots (1998).,TRUE,TRUE,,
364,FP_new,Armanda_Berta_dos_Santos,birthName,Armanda Berta dos Santos,,"Armanda Berta dos Santos (born 11 October 1974) is an East Timorese politician, and the leader of the Kmanek Haburas Unidade Nasional Timor Oan (KHUNTO) political party. She is the more senior of East Timor's two incumbent Deputy Prime Ministers, serving since May 2020 under the VIII Constitutional Government of East Timor led by Taur Matan Ruak. She is also the incumbent Minister of Social Solidarity and Inclusion, serving in that position since the government was formed in June 2018.",TRUE,TRUE,,
1,FP_new,Ashley_Lloyd,birthName,Ashley Luke Lloyd,,"Ashley Lloyd (billed as Ashley Luke Lloyd) (born 6 July 1991) is a British actor and dancer, who has performed in hit musical theatre shows such as Billy Elliot the Musical and Whistle Down the Wind. In 2012 Lloyd appeared in the new musical Loserville at the Garrick Theatre in London. Lloyd appeared in the Original London Cast of Dreamgirls at The Savoy Theatre and is now appearing in Saturday Night Fever at The Peacock Theatre in London. Fans of Hollyoaks might recognise Lloyd from the hit TV show playing Troy.",TRUE,FALSE,WV,
