,type,ent_uri,pred,val_pred,val_gold,abs,found,verif,reason,need discution,
794,FP_new,%C3%85ke_Claesson,birthName,Åke Claesson,,Åke Claesson (2 July 1889 – 29 May 1967) was a Swedish film actor. He appeared in more than 60 films between 1925 and 1962.,TRUE,TRUE,,,
218,FP_new,%C3%89douard_Schmit,label,Édouard,,"Édouard ""Edy"" Schmit (born 23 December 1930) is a Luxembourgian épée fencer. He competed at the 1956 and 1960 Summer Olympics. In 2008 he was promoted to the rank of Chevalier in the Order of Merit of the Grand Duchy of Luxembourg.",TRUE,FALSE,ICE,,
480,FP_new,%C3%89mile_Loubet,birthName,Émile François Loubet,,"Émile François Loubet (French: [emil lubɛ]; 30 December 1838 – 20 December 1929) was the 45th Prime Minister of France from February to December 1892 and later President of France from 1899 to 1906. Trained in law, he became mayor of Montélimar, where he was noted as a forceful orator. He was elected to the Chamber of Deputies in 1876 and the Senate in 1885. He was appointed as a Republican minister under Carnot and Ribot. He was briefly Prime Minister of France in 1892. As President, he saw the successful Paris Exhibition of 1900, and the forging of the Entente Cordiale with the United Kingdom of Great Britain and Ireland, resolving their sharp differences over the Boer War and the Dreyfus Affair.",TRUE,TRUE,,,
62,FP_new,A%2E_C%2E_Crowder,birthDate,1868-07-16,,"Arthur Campbell Crowder, Sr. (July 16, 1868 - September 15, 1936) was the mayor of Jackson, Mississippi, from 1909 to 1913.",FALSE,TRUE,,,
1354,FN,A%2E_C%2E_Crowder,birthName,,Arthur Campbell Crowder,"Arthur Campbell Crowder, Sr. (July 16, 1868 - September 15, 1936) was the mayor of Jackson, Mississippi, from 1909 to 1913.",TRUE,TRUE,,,
63,FP_new,A%2E_C%2E_Crowder,deathDate,1936-09-15,,"Arthur Campbell Crowder, Sr. (July 16, 1868 - September 15, 1936) was the mayor of Jackson, Mississippi, from 1909 to 1913.",FALSE,TRUE,,,
32,FP_new,Abdool_Razack_Mohamed,birthName,Abdool Razack Mohamed,,Sir Abdool Razack Mohamed (Urdu: عبدل رزاق محمد; 1 August 1906 – 8 May 1978) was an Indian-born former senior Mauritian Minister in the pre and post-independence cabinet of Mauritius.,TRUE,TRUE,,,
19,FP_new,Abdul_Wahid_Khan,birthYear,1871,,"Ustad Abdul Wahid Khan (1871–1949) was an Indian subcontinental singer from the Kirana gharana. He died in 1949 in Saharanpur, India.",TRUE,TRUE,,,
20,FP_new,Abdul_Wahid_Khan,deathYear,1949,,"Ustad Abdul Wahid Khan (1871–1949) was an Indian subcontinental singer from the Kirana gharana. He died in 1949 in Saharanpur, India.",TRUE,TRUE,,,
34,FN,Abhilash_Pillai,birthName,,Abhilash Pillai,"Abhilash Pillai (born 17 May 1969) is an Indian theater director, both pedagogue and scholar of contemporary Indian theatre.",TRUE,TRUE,,,
629,FP_new,Abraham_X%2E_Parker,birthName,Abraham X.Parker,,"Abraham X. Parker (November 14, 1831 – August 9, 1909) was an American lawyer and politician from New York. He was most notable for his service in the New York State Assembly (1863-1864), the New York State Senate (1867-1871), and the United States House of Representatives (1881-1889).",FALSE,TRUE,,,
360,FN,Ace_Frehley,alias,,Space Ace,"Paul Daniel ""Ace"" Frehley (/ˈfreɪli/; born April 27, 1951) is an American musician, best known as the original lead guitarist and co-founding member of the hard rock band Kiss. He invented the persona of The Spaceman (a.k.a. Space Ace) and played with the group from its inception in 1973 until his departure in 1982. After leaving Kiss, Frehley formed his own band named Frehley's Comet and released two albums with this group. He subsequently embarked on a solo career, which was put on hold when he rejoined Kiss in 1996 for a highly successful reunion tour.",TRUE,TRUE,,,
997,FP_new,Ace_Frehley,label,Ace Frehley,,"Paul Daniel ""Ace"" Frehley (/ˈfreɪli/; born April 27, 1951) is an American musician, best known as the original lead guitarist and co-founding member of the hard rock band Kiss. He invented the persona of The Spaceman (a.k.a. Space Ace) and played with the group from its inception in 1973 until his departure in 1982. After leaving Kiss, Frehley formed his own band named Frehley's Comet and released two albums with this group. He subsequently embarked on a solo career, which was put on hold when he rejoined Kiss in 1996 for a highly successful reunion tour.",TRUE,TRUE,,,
726,FP_new,Ada_Rogovtseva,birthName,Ada Rogovtseva,,"Ada Rogovtseva (born 16 July 1937) is a Ukrainian-Soviet actress. She has appeared in over 30 films and television shows since 1957. Professor at the National University of Culture. She won the award for Best Actress at the 7th Moscow International Film Festival for her role in Hail, Mary!.",TRUE,TRUE,,,
511,FN,Adela_Zamudio,alias,,Soledad,"Paz Juana Plácida Adela Rafaela Zamudio Rivero, or more popularly known as Adela Zamudio (1854–1928) was a Bolivian poet, feminist, and educator. She is considered the most famous Bolivian poet, and is credited as founding the country's feminist movement. In her writing, she also used the pen-name Soledad.",TRUE,TRUE,,,
1736,FN,Adela_Zamudio,birthName,,Paz Juana Plácida Adela Rafaela Zamudio Rivero,"Paz Juana Plácida Adela Rafaela Zamudio Rivero, or more popularly known as Adela Zamudio (1854–1928) was a Bolivian poet, feminist, and educator. She is considered the most famous Bolivian poet, and is credited as founding the country's feminist movement. In her writing, she also used the pen-name Soledad.",TRUE,TRUE,,,
4322,FP_different,Adela_Zamudio,birthName,Adela Rafaela Zamudio,Paz Juana Plácida Adela Rafaela Zamudio Rivero,"Paz Juana Plácida Adela Rafaela Zamudio Rivero, or more popularly known as Adela Zamudio (1854–1928) was a Bolivian poet, feminist, and educator. She is considered the most famous Bolivian poet, and is credited as founding the country's feminist movement. In her writing, she also used the pen-name Soledad.",TRUE,FALSE,ICE,,
4827,FP_different,Adela_Zamudio,birthName,Paz Juana Plácida Adela Rafaela Zamudio,Paz Juana Plácida Adela Rafaela Zamudio Rivero,"Paz Juana Plácida Adela Rafaela Zamudio Rivero, or more popularly known as Adela Zamudio (1854–1928) was a Bolivian poet, feminist, and educator. She is considered the most famous Bolivian poet, and is credited as founding the country's feminist movement. In her writing, she also used the pen-name Soledad.",TRUE,FALSE,ICE,,
510,FN,Adela_Zamudio,label,,Adela Zamudio,"Paz Juana Plácida Adela Rafaela Zamudio Rivero, or more popularly known as Adela Zamudio (1854–1928) was a Bolivian poet, feminist, and educator. She is considered the most famous Bolivian poet, and is credited as founding the country's feminist movement. In her writing, she also used the pen-name Soledad.",TRUE,TRUE,,,
1289,FP_new,Ador%C3%A9e_Villany,birthName,Adorée Via Villany,,Adorée Via Villany (1891–?) was the stage name for a French dancer and choreographer.,TRUE,TRUE,,,
3912,FN,Ador%C3%A9e_Villany,birthYear,,1891,Adorée Via Villany (1891–?) was the stage name for a French dancer and choreographer.,TRUE,TRUE,,,
598,FP_new,Ador%C3%A9e_Villany,label,Adorée Via Villany,,Adorée Via Villany (1891–?) was the stage name for a French dancer and choreographer.,TRUE,FALSE,LCE,,
