,pattern_id,nb,s_valid,label,birthDate,birthYear,deathYear,alias,birthName,deathDate
0,motif0,0,0,0,0,0,1,0,0,0
1,motif1,0,0,0,1,0,0,1,1,1
2,motif2,0,1,1,1,0,1,1,1,0
3,motif3,0,0,0,1,0,0,0,0,0
4,motif4,0,1,1,1,0,1,1,1,1
5,motif5,0,0,0,1,0,1,1,1,1
6,motif6,0,1,1,0,1,0,1,1,1
7,motif7,0,0,1,0,0,1,0,1,0
8,motif8,0,0,1,0,0,0,0,0,1
9,motif9,0,1,1,1,1,0,1,0,1
10,motif10,0,1,1,1,0,0,0,1,0
11,motif11,0,1,1,1,1,1,0,1,0
12,motif12,0,0,1,0,0,1,1,1,0
13,motif13,0,0,0,0,1,0,1,1,1
14,motif14,0,0,0,1,0,1,1,0,0
15,motif15,0,0,0,1,1,1,0,1,0
16,motif16,0,0,1,0,0,1,0,1,1
17,motif17,0,0,1,0,0,1,0,0,0
18,motif18,0,1,1,1,0,1,1,0,1
19,motif19,0,0,0,0,1,1,1,1,0
20,motif20,2,1,1,0,1,1,1,0,0
21,motif21,0,1,1,1,0,1,0,1,1
22,motif22,0,0,1,0,0,1,0,0,1
23,motif23,0,0,0,1,1,0,0,1,0
24,motif24,0,1,1,1,0,1,1,0,0
25,motif25,0,1,1,1,0,0,0,0,1
26,motif26,0,1,1,0,1,0,1,1,0
27,motif27,0,0,1,0,0,1,1,0,1
28,motif28,0,0,0,0,1,0,1,0,1
29,motif29,0,0,1,0,0,1,1,1,1
30,motif30,53,1,1,0,1,0,0,0,0
31,motif31,0,0,0,1,1,1,0,0,1
32,motif32,0,0,0,0,1,0,0,1,0
33,motif33,0,1,1,1,0,1,0,0,0
34,motif34,0,0,0,1,1,0,0,0,1
35,motif35,0,0,1,0,0,0,1,0,0
36,motif36,0,0,0,0,0,0,1,1,1
37,motif37,29,1,1,1,1,1,0,1,1
38,motif38,0,1,1,0,1,0,1,0,1
39,motif39,0,0,1,0,0,0,1,1,0
40,motif40,718,1,1,1,1,0,0,0,0
41,motif41,0,0,0,1,1,1,0,0,0
42,motif42,0,0,0,0,1,0,0,0,1
43,motif43,0,0,0,0,0,1,1,1,0
44,motif44,0,1,1,1,0,0,0,1,1
45,motif45,0,0,0,0,0,0,0,1,0
46,motif46,0,0,0,0,0,1,0,1,1
47,motif47,0,0,0,1,1,0,1,1,1
48,motif48,0,0,0,0,1,1,0,0,0
